"name","so"
"LAURA","JERRY"
"MARLENE","JERRY"
"DONNA","JERRY"
"ANGELA","JERRY"
"NAOMI","JERRY"
"SANDRA","JERRY"
"MARLA","JERRY"
"TIA","JERRY"
"SHARON","JERRY"
"SIDRA","JERRY"
"DOLORES","JERRY"
"AMY","JERRY"
"JODY","JERRY"
"WINONA","JERRY"
"TAWNI","JERRY"
"JANE","JERRY"
"AUDREY","JERRY"
"MERYL","JERRY"
"RACHEL","JERRY"
"JULIE","JERRY"
"SANDI","JERRY"
"MELANIE","JERRY"
"HOLLY","JERRY"
"LENA","JERRY"
"CHRISTIE","JERRY"
"NICKI","JERRY"
"JEANNIE","JERRY"
"GILLIAN","JERRY"
"ELLEN","JERRY"
"JENNA","JERRY"
"BETH","JERRY"
"ALEX","JERRY"
"LANETTE","JERRY"
"CLAIRE","JERRY"
"PATTY","JERRY"
"CELIA","JERRY"
"SARA","JERRY"
"VANESSA","JERRY"
"MARY","JERRY"
"SHERRY","JERRY"
"ISABEL","JERRY"
"GINA","JERRY"
"NINA","JERRY"
"GAIL","JERRY"
"LAURA","JERRY"
"JODI","JERRY"
"PAULA","JERRY"
"KAREN","JERRY"
"MARGARET","JERRY"
"KATYA","JERRY"
"LOIS","JERRY"
"CATHY","JERRY"
"SHELLY","JERRY"
"BRIDGETTE","JERRY"
"GENNICE","JERRY"
"SHEILA","JERRY"
"HALLIE","JERRY"
"PAM","JERRY"
"ABBY","JERRY"
"VALERIE","JERRY"
"MELISSA","JERRY"
"GWEN","JERRY"
"KERI","JERRY"
"SOPHIE","JERRY"
"LISI","JERRY"
"CINDY","JERRY"
"MARLENE","GEORGE"
"PATRICE","GEORGE"
"MONICA","GEORGE"
"AUDREY","GEORGE"
"EVIE","GEORGE"
"NOELLE","GEORGE"
"CYNTHIA","GEORGE"
"CARRIE","GEORGE"
"ROBIN","GEORGE"
"SUSAN","GEORGE"
"CHERYL","GEORGE"
"ALISON","GEORGE"
"BETSY","GEORGE"
"KAREN","GEORGE"
"GWEN","GEORGE"
"SASHA","GEORGE"
"DIANE","GEORGE"
"DAPHNE","GEORGE"
"ROBBIN","GEORGE"
"JANE","GEORGE"
"VICTORIA","GEORGE"
"JULIE","GEORGE"
"LINDSEY","GEORGE"
"NINA","GEORGE"
"BONNIE","GEORGE"
"DENISE","GEORGE"
"PAULA","GEORGE"
"NANCY","GEORGE"
"SIENNA","GEORGE"
"MARISA","GEORGE"
"ANNA","GEORGE"
"SHEILA","GEORGE"
"HEATHER","GEORGE"
"LOUISE","GEORGE"
"CELIA","GEORGE"
"ALLISON","GEORGE"
"DANIELLE","GEORGE"
"MARCY","GEORGE"
"MARYANN","GEORGE"
"TARA","GEORGE"
"VIVIAN","GEORGE"
"RHISA","GEORGE"
"MIRANDA","GEORGE"
"JANET","GEORGE"
"MAURA","GEORGE"
"ROBERT","ELAINE"
"OWEN","ELAINE"
"DICK","ELAINE"
"KEITH","ELAINE"
"EDUARDO","ELAINE"
"DR. RESTON","ELAINE"
"DAVOLA","ELAINE"
"DOCTOR","ELAINE"
"JOHN F. KENNEDY JR.","ELAINE"
"FRED","ELAINE"
"ROY","ELAINE"
"CARL","ELAINE"
"RUSSELL","ELAINE"
"LLOYD","ELAINE"
"JOEL","ELAINE"
"RICKY","ELAINE"
"TONY","ELAINE"
"PHIL","ELAINE"
"AARON","ELAINE"
"JAKE","ELAINE"
"SIMON","ELAINE"
"NED","ELAINE"
"WHATLEY","ELAINE"
"ROBERT","ELAINE"
"JIMMY","ELAINE"
"PUDDY","ELAINE"
"BOB","ELAINE"
"JAMES","ELAINE"
"FRED","ELAINE"
"BILLY","ELAINE"
"JOHN","ELAINE"
"BOB","ELAINE"
"CRAIG","ELAINE"
"TODD","ELAINE"
"DAVID","ELAINE"
"KEVIN","ELAINE"
"BRETT","ELAINE"
"BEN","ELAINE"
"ALAN","ELAINE"
"KURT","ELAINE"
"VINCENT","ELAINE"
"BLAINE","ELAINE"
"HAL","ELAINE"
"MR. LIPPMAN","ELAINE"
"JACK","ELAINE"
"PETER","ELAINE"
"GLENN","ELAINE"
"DARRYL","ELAINE"
"ZACH","ELAINE"
"TINA","KRAMER"
"MARION","KRAMER"
"CHELSEA","KRAMER"
"GAIL","KRAMER"
"LOLA","KRAMER"
"LESLIE","KRAMER"
"CHERYL","KRAMER"
"ERICA","KRAMER"
"OLIVE","KRAMER"
"TOBY","KRAMER"
"NOREEN","KRAMER"
"WENDY","KRAMER"
"SALLY","KRAMER"
"CONNIE","KRAMER"
"PAM","KRAMER"
"EMILY","KRAMER"
