"speaker","season","word.count","Season.Share"
"ELAINE",1,1435,0.0997428233822201
"GEORGE",1,2898,0.201431848196288
"JERRY",1,6479,0.450337109890874
"KRAMER",1,1092,0.0759018558420797
"ELAINE",2,4060,0.145749569213096
"GEORGE",2,6251,0.224404078116025
"JERRY",2,10538,0.378302699597932
"KRAMER",2,2352,0.0844342331993107
"ELAINE",3,7568,0.147939635624365
"GEORGE",3,11411,0.223062788333724
"JERRY",3,15771,0.308292282430213
"KRAMER",3,5720,0.11181484087888
"ELAINE",4,6904,0.118903279140259
"GEORGE",4,12857,0.221428079360705
"JERRY",4,17097,0.294450950675117
"KRAMER",4,6311,0.108690410581427
"ELAINE",5,8653,0.143892907624512
"GEORGE",5,11865,0.197306061361936
"JERRY",5,15423,0.256472935894238
"KRAMER",5,6904,0.114808347883928
"ELAINE",6,8190,0.147233308165246
"GEORGE",6,9853,0.1771293999209
"JERRY",6,15190,0.273073742494517
"KRAMER",6,7450,0.133930176536152
"ELAINE",7,9134,0.142026371439234
"GEORGE",7,11644,0.181054857569349
"JERRY",7,16297,0.253405274287847
"KRAMER",7,8776,0.136459758676452
"ELAINE",8,8535,0.158554709269924
"GEORGE",8,8969,0.166617127995542
"JERRY",8,12556,0.233252832992755
"KRAMER",8,8630,0.160319524428757
"ELAINE",9,8022,0.147493059258306
"GEORGE",9,10081,0.185349978856019
"JERRY",9,12338,0.226847340454871
"KRAMER",9,8708,0.160105903767306
"OTHER",1,2483,0.172586362688538
"OTHER",2,4655,0.167109419873636
"OTHER",3,10686,0.208890452732817
"OTHER",4,14895,0.256527280242491
"OTHER",5,17290,0.287519747235387
"OTHER",6,14943,0.268633372883184
"OTHER",7,18461,0.287053738027118
"OTHER",8,15140,0.281255805313022
"OTHER",9,15240,0.280203717663498
